datapoint_id,ref,study,doi,np_class,np_composition,np_size_nm,base_oil_category,base_oil_specific,concentration_wt_pct,load_N,tribometer,test_conditions,baseline_cof,nano_cof,cof_reduction_pct,wear_metric,baseline_wear,nano_wear,wear_reduction_pct,wear_unit,cof_source,wear_source,quote,confidence,notes,source_type,np_class_note,np_size_nm_num,concentration_wt_pct_num,load_N_num,baseline_cof_num,nano_cof_num,cof_reduction_pct_num,baseline_wear_num,nano_wear_num,wear_reduction_pct_num,conc_basis,cls_metal,cls_metal_oxide,cls_carbon,cls_metal_sulfide,cls_hybrid,oil_mineral,oil_pao,oil_synth_ester,oil_veg_bio,oil_water,oil_mixed,has_cof,has_wear,size_imputed_flag,np_size_nm_imp
D001,[9],Mao 2021 Friction,10.1007/s40544-019-0327-x,Carbon,"graphene (TRGO, thermally reduced graphene oxide)",350.0,Mineral,hydraulic oil (Kunlun),0.3,3.0,UMT-3 ball-on-disk reciprocating (CETR),"steel(GCr15 ball)/copper(H62 disk); reciprocating stroke 3 mm, 0.5 Hz, 30 min, RT",0.23,0.081,64.8,wear-depth,1.06,0.68,35.8,um,p.3 text (Fig 3a),p.3 text (Fig 3d),"the mean COF and wear scar depth of TRGO lubricant was 0.081 and 0.68 um, which is 25.2% and 64.2% that of base oil (0.23 and 1.06 um)",High,steel/copper pair; optimum 0.3 wt%; graphene lateral size 100-600 nm (~6 layers); paper states COF '25.2% that of base oil' but 0.081/0.23=35% (apparent typo); reductions computed from baseline/nano,folder-PDF,,350.0,0.3,3.0,0.23,0.081,64.8,1.06,0.68,35.8,wt%,0,0,1,0,0,1,0,0,0,0,0,1,1,0,350.0
D002,[9],Mao 2021 Friction,10.1007/s40544-019-0327-x,Carbon,"graphene (TRGO, thermally reduced graphene oxide)",350.0,Mineral,hydraulic oil (Kunlun),0.3,3.0,UMT-3 ball-on-disk reciprocating (CETR),"steel(GCr15 ball)/steel(GCr15 disk); reciprocating stroke 3 mm, 0.5 Hz, 30 min, RT",0.136,0.092,32.4,wear-depth,0.257,0.008,96.9,um,p.4 text (Fig 3a),p.4 text (Fig 3e),"At a load of 3 N, the mean COF and wear scar depth of TRGO lubricant was 0.092 and 0.008 um, which is 67.6% and 3.1% of that with base oil (0.136 and 0.257 um)",High,steel/steel pair; optimum 0.3 wt%; near-zero wear with TRGO,folder-PDF,,350.0,0.3,3.0,0.136,0.092,32.4,0.257,0.008,96.9,wt%,0,0,1,0,0,1,0,0,0,0,0,1,1,0,350.0
D003,[9],Mao 2021 Friction,10.1007/s40544-019-0327-x,Carbon,"graphene (TRGO, thermally reduced graphene oxide)",350.0,Mineral,hydraulic oil (Kunlun),0.1,,UMT-3 ball-on-disk reciprocating (CETR),steel/copper (GCr15 ball/H62 disk); reciprocating; concentration study,0.2,0.115,42.5,wear-scar-width,260.0,208.0,20.0,um,Fig 4,Fig 4,Figure 4 shows that 0.3 wt% is the optimal concentration for TRGO lubricant to realize the lowest COF and slightest wear,Med,"steel/copper concentration series read from Fig 4 (base-oil COF~0.20, wear-scar-width~260 um); test load not stated in Fig 4 (likely ~3 N steady condition); optimum 0.3 wt%",folder-PDF,,350.0,0.1,,0.2,0.115,42.5,260.0,208.0,20.0,wt%,0,0,1,0,0,1,0,0,0,0,0,1,1,0,350.0
D004,[9],Mao 2021 Friction,10.1007/s40544-019-0327-x,Carbon,"graphene (TRGO, thermally reduced graphene oxide)",350.0,Mineral,hydraulic oil (Kunlun),0.5,,UMT-3 ball-on-disk reciprocating (CETR),steel/copper (GCr15 ball/H62 disk); reciprocating; concentration study,0.2,0.09,55.0,wear-scar-width,260.0,245.0,5.8,um,Fig 4,Fig 4,Figure 4 shows that 0.3 wt% is the optimal concentration for TRGO lubricant to realize the lowest COF and slightest wear,Med,"steel/copper concentration series read from Fig 4 (base-oil COF~0.20, wear-scar-width~260 um); test load not stated in Fig 4 (likely ~3 N steady condition); optimum 0.3 wt%",folder-PDF,,350.0,0.5,,0.2,0.09,55.0,260.0,245.0,5.8,wt%,0,0,1,0,0,1,0,0,0,0,0,1,1,0,350.0
D005,[9],Mao 2021 Friction,10.1007/s40544-019-0327-x,Carbon,"graphene (TRGO, thermally reduced graphene oxide)",350.0,Mineral,hydraulic oil (Kunlun),1.0,,UMT-3 ball-on-disk reciprocating (CETR),steel/copper (GCr15 ball/H62 disk); reciprocating; concentration study,0.2,0.09,55.0,wear-scar-width,260.0,237.0,8.8,um,Fig 4,Fig 4,Figure 4 shows that 0.3 wt% is the optimal concentration for TRGO lubricant to realize the lowest COF and slightest wear,Med,"steel/copper concentration series read from Fig 4 (base-oil COF~0.20, wear-scar-width~260 um); test load not stated in Fig 4 (likely ~3 N steady condition); optimum 0.3 wt%",folder-PDF,,350.0,1.0,,0.2,0.09,55.0,260.0,237.0,8.8,wt%,0,0,1,0,0,1,0,0,0,0,0,1,1,0,350.0
D006,[10],Peng 2009 Tribol Int,10.1016/j.triboint.2008.12.015,Carbon,nanodiamond (oleic-acid modified),110.0,Mineral,liquid paraffin (LB21046),0.2,,ball-on-ring (AISI52100 ring / GCr15 ball 12.7mm),"500 rpm, RT, 2.25 GPa (~150 N), 60 min, Ra 0.205 um",0.088,0.072,18.2,WSD,1.18,0.89,24.6,mm,Fig 6,"Fig 5 (baseline 1.18 mm, text p.913)",the optimal concentration of diamond particles that minimizes the wear scar diameter is 0.2-0.5wt%,Med,"diamond 110 nm; COF & WSD read from Fig 6 & Fig 5 at 2.25 GPa; pure-paraffin baseline WSD 1.18 mm stated in text, COF 0.088 from Fig 6",folder-PDF,,110.0,0.2,,0.088,0.072,18.2,1.18,0.89,24.6,wt%,0,0,1,0,0,1,0,0,0,0,0,1,1,0,110.0
D007,[10],Peng 2009 Tribol Int,10.1016/j.triboint.2008.12.015,Metal-Oxide,SiO2 (oleic-acid modified),92.0,Mineral,liquid paraffin (LB21046),0.2,,ball-on-ring (AISI52100 ring / GCr15 ball 12.7mm),"500 rpm, RT, 2.25 GPa (~150 N), 60 min, Ra 0.205 um",0.088,0.071,19.3,WSD,1.18,0.88,25.4,mm,Fig 6,"Fig 5 (baseline 1.18 mm, text p.913)",that of SiO2 nanoparticles is 0.1-1wt%,Med,SiO2 92 nm; optimum range 0.1-1 wt%; values read from Fig 5/6 at 2.25 GPa,folder-PDF,,92.0,0.2,,0.088,0.071,19.3,1.18,0.88,25.4,wt%,0,1,0,0,0,1,0,0,0,0,0,1,1,0,92.0
D008,[10],Peng 2009 Tribol Int,10.1016/j.triboint.2008.12.015,Carbon,nanodiamond (oleic-acid modified),110.0,Mineral,liquid paraffin (LB21046),0.5,,ball-on-ring (AISI52100 ring / GCr15 ball 12.7mm),"500 rpm, RT, 2.25 GPa (~150 N), 60 min, Ra 0.205 um",0.088,0.076,13.6,WSD,1.18,0.91,22.9,mm,Fig 6,"Fig 5 (baseline 1.18 mm, text p.913)",,Med,diamond upper-optimum 0.5 wt%; values read from Fig 5/6,folder-PDF,,110.0,0.5,,0.088,0.076,13.6,1.18,0.91,22.9,wt%,0,0,1,0,0,1,0,0,0,0,0,1,1,0,110.0
D009,[14],Zhang 2013 Vacuum,10.1016/j.vacuum.2012.07.009,Metal,Sn,45.0,PAO,MAC (multialkylated cyclopentane),0.1,300.0,vacuum four-ball,"vacuum 2e-4 Pa, 300 N, 1450 rpm, 25 C, 30 min",0.1,0.08,20.0,WSD,0.81,0.6,25.9,mm,Fig 3,Fig 6,the lowest friction coefficient of all tested oil samples was found for a content of 1% for the both kind of nanoparticles,Med,"Sn 30-60 nm; MAC=multialkylated cyclopentane space lubricant (coded PAO per spec); base MACs COF~0.100 & WSD~0.81 mm; Sn best friction-reduction, Fe better anti-wear except at 0.5%; values read from Fig 3 & Fig 6",folder-PDF,,45.0,0.1,300.0,0.1,0.08,20.0,0.81,0.6,25.9,wt%,1,0,0,0,0,0,1,0,0,0,0,1,1,0,45.0
D010,[14],Zhang 2013 Vacuum,10.1016/j.vacuum.2012.07.009,Metal,Sn,45.0,PAO,MAC (multialkylated cyclopentane),0.5,300.0,vacuum four-ball,"vacuum 2e-4 Pa, 300 N, 1450 rpm, 25 C, 30 min",0.1,0.069,31.0,WSD,0.81,0.56,30.9,mm,Fig 3,Fig 6,the lowest friction coefficient of all tested oil samples was found for a content of 1% for the both kind of nanoparticles,Med,"Sn 30-60 nm; MAC=multialkylated cyclopentane space lubricant (coded PAO per spec); base MACs COF~0.100 & WSD~0.81 mm; Sn best friction-reduction, Fe better anti-wear except at 0.5%; values read from Fig 3 & Fig 6",folder-PDF,,45.0,0.5,300.0,0.1,0.069,31.0,0.81,0.56,30.9,wt%,1,0,0,0,0,0,1,0,0,0,0,1,1,0,45.0
